timestamp;user_present;activity;outdoor_temp;humidity;light_level;day_of_week;hour_of_day;price_kWh
2022-01-01 00:00:00;1;sleeping;11.8;46.6;11.5;5;0;1500
2022-01-01 00:15:00;1;sleeping;10.8;57.9;12.5;5;0;1500
2022-01-01 00:30:00;1;sleeping;11.8;50.6;92.4;5;0;1500
2022-01-01 00:45:00;1;sleeping;10.1;37.0;97.8;5;0;1500
2022-01-01 01:00:00;1;sleeping;10.5;65.5;28.8;5;1;1500
2022-01-01 01:15:00;1;sleeping;5.6;84.7;59.4;5;1;1500
2022-01-01 01:30:00;1;sleeping;11.8;73.0;9.9;5;1;1500
2022-01-01 01:45:00;1;sleeping;5.8;81.5;18.1;5;1;1500
2022-01-01 02:00:00;1;sleeping;4.9;90.4;10.8;5;2;1500
2022-01-01 02:15:00;1;sleeping;5.1;96.0;69.1;5;2;1500
2022-01-01 02:30:00;1;sleeping;6.2;90.4;30.3;5;2;1500
2022-01-01 02:45:00;1;sleeping;5.9;67.8;98.0;5;2;1500
2022-01-01 03:00:00;1;sleeping;11.5;60.1;12.3;5;3;1500
2022-01-01 03:15:00;1;sleeping;7.0;99.3;5.2;5;3;1500
2022-01-01 03:30:00;1;sleeping;12.7;55.9;7.3;5;3;1500
2022-01-01 03:45:00;1;sleeping;11.4;56.7;67.9;5;3;1500
2022-01-01 04:00:00;1;sleeping;12.6;52.6;79.3;5;4;1500
2022-01-01 04:15:00;1;sleeping;7.4;100.0;32.5;5;4;1500
2022-01-01 04:30:00;1;sleeping;7.3;71.8;98.1;5;4;1500
2022-01-01 04:45:00;1;sleeping;12.5;60.5;95.6;5;4;1500
2022-01-01 05:00:00;1;sleeping;8.2;82.5;61.0;5;5;1500
2022-01-01 05:15:00;1;sleeping;7.5;91.5;82.6;5;5;1500
2022-01-01 05:30:00;1;sleeping;8.6;90.9;19.4;5;5;1500
2022-01-01 05:45:00;1;sleeping;8.4;68.4;44.9;5;5;1500
2022-01-01 06:00:00;1;sleeping;15.7;72.9;12.8;5;6;2500
2022-01-01 06:15:00;1;cooking;15.1;67.6;47.1;5;6;2500
2022-01-01 06:30:00;1;cooking;15.5;65.4;4.2;5;6;2500
2022-01-01 06:45:00;1;cooking;15.5;52.5;17.5;5;6;2500
2022-01-01 07:00:00;1;cooking;15.4;63.0;57.1;5;7;2500
2022-01-01 07:15:00;1;cooking;9.3;83.4;57.1;5;7;2500
2022-01-01 07:30:00;1;cooking;16.5;71.2;57.1;5;7;2500
2022-01-01 07:45:00;1;cooking;9.3;69.2;57.1;5;7;2500
2022-01-01 08:00:00;1;idle;10.6;74.0;166.8;5;8;2500
2022-01-01 08:15:00;1;idle;10.0;67.8;166.8;5;8;2500
2022-01-01 08:30:00;1;idle;16.3;64.3;166.8;5;8;2500
2022-01-01 08:45:00;1;idle;17.2;54.1;166.8;5;8;2500
